shoot,score
19.3,27.5
18.2,26.4
18.6,25.3
18.5,25.3
17.6,27.1
17.8,26.8
18.9,27.1
18.8,26.7
20.1,29.7
19.9,28.4
21.9,30
20.8,27.3
23.1,31.4
21.1,27.2
18.9,20.9
21.3,32.8
19.9,26.3
27.2,30.1
17,27.4
18.8,25.9
21.8,30.3
17.8,23.7
19.2,29.1
22.3,35.3
21.2,28.2
20,25.1
23.6,30.8
14,28
14,28
20,24
20,25
25,39
17,31
19,25
24,30
25,31
25,33
16,18
18,32
23,37
20,24
20,22
22,37
17,25
10,11
21,24
20,21
17,26
23,28
17,18
16,16
18,32
25,27
16,26
8,10
23,33
15,19
17,24
22,29
17,16
18,20
23,34
22,39
23,20
15,29
13,25
23,30
22,29
18,32
15,23
22,34
11,24
16,21
23,30
20,27
17,33
14,18
26,39
24,31
14,23
14,19
24,33
20,30
17,26
34,57
15,30
11,16
20,18
20,29
15,34
16,22
19,24
21,29
15,32
22,27
14,36
29,18
22,41
20,34
17,26
21,17
14,24
12,32
22,18
20,33
12,16
20,30
14,24
22,29
22,30
27,38
21,28
12,24
11,18
17,31
14,25
16,27
19,18
16,25
18,32
20,32
14,27
19,23
18,2
18,31
15,24
21,26
16,29
12,21
18,20
12,16
12,20
20,29
17,28
20,36
21,31
21,26
25,32
18,23
22,31
16,19
24,29
25,34
18,2
17,23
24,44
22,27
10,25
26,34
22,27
14,16
16,22
19,26
13,19
21,31
14,21
15,28
21,19
18,27
17,23
23,25
22,30
12,19
16,27
16,21
14,19
16,34
17,33
9,17
22,31
26,29
11,24
21,27
16,30
22,26
19,33
20,26
15,18
20,23
15,27
18,24
19,25
19,28
20,2
18,19
22,33
18,25
13,23
18,12
22,25
19,25
22,29
16,21
20,27
23,30
21,23
22,24
17,29
16,20
8,21
15,25
27,26
17,22
12,17
16,16
14,19
17,22
17,27
22,37
12,13
22,34
11,20
18,29
24,34
10,14
13,12
26,25
22,24
17,23
27,33
20,24
15,25
24,33
29,37
